t,value
1,2.1094231209473957
2,2.1054933998360115
3,2.1017943461045796
4,2.0983001124669665
5,2.094988826356925
6,2.091841910672798
7,2.0888435288498375
8,2.0859801296633895
9,2.083240072481729
10,2.0806133177516895
