t,value
0,-0.9948245081698004
1,-0.9733171928312467
2,-0.9542595868273329
3,-0.9373810445351793
4,-0.9224433736771287
5,-0.9092364512855111
6,-0.8975745119690237
7,-0.887292991847366
8,-0.8782458342386668
9,-0.8703031810117667
10,-0.863349387660306
