t,value
0,-7.010839360530863
1,-6.908223684998149
2,-6.8132209488845685
3,-6.725245897192766
4,-6.6437618867731585
5,-6.568276297203224
6,-6.498336462967124
7,-6.433526052568405
8,-6.373461833530936
9,-6.317790772747545
10,-6.266187429867786
