t,value
0,-1.3029157068038866
1,-1.2491752943788903
2,-1.2007058278066363
3,-1.1569992941078744
4,-1.1176004618842605
5,-1.0821006430722369
6,-1.0501323190226897
7,-1.0213644896933993
8,-0.9954986316019654
9,-0.9722651712377295
10,-0.9514203971638158
