t,value
1,2.0626225362833095
2,2.0559810855079297
3,2.0500429988858926
4,2.044727177731853
5,2.0399631699538734
6,2.0356895511437267
7,2.031852588800853
8,2.0284051339247267
9,2.025305696167168
10,2.0225176682295842
