t,value
1,2.1040403959986964
2,2.100925683419397
3,2.097908807764637
4,2.094985803336691
5,2.0921530031764446
6,2.0894070004049414
7,2.086744615970937
8,2.0841628714977967
9,2.0816589663169793
10,2.0792302579103916
