t,value
0,0.8814525006684226
1,1.0026737578098466
2,1.1188340667856567
3,1.2302504823982874
4,1.3372103082901043
5,1.4399747056820456
6,1.5387817848068197
7,1.6338492647126834
8,1.7253767707672285
9,1.8135478264346805
10,1.8985315858091933
