t,value
1,2.0000000000000018
2,2.0000000000000018
3,2.000000000000024
4,1.9999999999999796
5,2.0000000000000018
6,2.0000000000000018
7,2.0000000000000018
8,2.000000000000024
9,2.0000000000000018
10,2.0000000000000018
