t,value
0,5.082592105489536
1,5.189776757403486
2,5.29385862120717
3,5.394929171820273
4,5.493076446477141
5,5.588385307348354
6,5.6809376682104284
7,5.770812691283744
8,5.858086959095066
9,5.942834625343818
10,6.025127548001885
