t,value
0,223326.4912631176
1,259217.67212440443
2,295337.1934838481
3,331722.88402003044
4,368408.6709142774
5,405425.20633043715
6,442800.39449724177
7,480559.8366761319
8,518727.2079616971
9,557324.5772433877
10,596372.679588057
