t,value
0,-0.5243018702811963
1,-0.3923560734304887
2,-0.26628794369262243
3,-0.14571808567033218
4,-0.030302238714241536
5,0.0802729119407708
6,0.18629332526636233
7,0.2880206959615661
8,0.3856951281618448
9,0.4795374569703581
10,0.5697512715647557
